logical_vehicle_id,raw_track_ids,from_frame,to_frame,gap_frames,from_tracklet_id,to_tracklet_id,center_distance_px,center_distance_per_frame,bbox_size_ratio,from_confidence,to_confidence,review_status,reason
lv_0001,mot_0001,70,74,3,mot_0001_tl01,mot_0001_tl02,5.08,1.27,1.16,0.477162,0.528148,FLICKER_GAP_REVIEW,tracklet_break
lv_0004,mot_0004,18,20,1,mot_0004_tl01,mot_0004_tl02,3.75,1.88,1.00,0.889511,0.913628,FLICKER_GAP_REVIEW,tracklet_break
lv_0005,mot_0006|mot_0166,279,282,2,mot_0006_tl01,mot_0166_tl01,9.44,3.15,1.63,0.425942,0.358147,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0006,mot_0007,346,349,2,mot_0007_tl01,mot_0007_tl02,4.91,1.64,1.09,0.404798,0.333299,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0007,mot_0008,171,176,4,mot_0008_tl01,mot_0008_tl02,6.85,1.37,1.02,0.388433,0.289631,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0007,mot_0008,176,195,18,mot_0008_tl02,mot_0008_tl03,26.19,1.38,1.07,0.289631,0.299645,FLICKER_GAP_REVIEW,long_gap|tracklet_break|low_confidence_context
lv_0008,mot_0009,18,20,1,mot_0009_tl01,mot_0009_tl02,2.47,1.24,1.01,0.288952,0.718305,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0008,mot_0009,27,29,1,mot_0009_tl02,mot_0009_tl03,2.52,1.26,1.01,0.348003,0.696269,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0008,mot_0009,97,99,1,mot_0009_tl03,mot_0009_tl04,2.35,1.17,1.01,0.576752,0.644512,FLICKER_GAP_REVIEW,tracklet_break
lv_0008,mot_0009,115,117,1,mot_0009_tl04,mot_0009_tl05,3.31,1.65,1.00,0.367499,0.350443,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0008,mot_0009,122,124,1,mot_0009_tl05,mot_0009_tl06,3.53,1.76,1.00,0.392415,0.858328,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0008,mot_0009,132,134,1,mot_0009_tl06,mot_0009_tl07,3.52,1.76,1.01,0.741969,0.514862,FLICKER_GAP_REVIEW,tracklet_break
lv_0008,mot_0009,141,143,1,mot_0009_tl07,mot_0009_tl08,3.11,1.56,1.00,0.300092,0.630695,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0008,mot_0009,171,173,1,mot_0009_tl08,mot_0009_tl09,3.25,1.63,1.03,0.691935,0.387379,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0008,mot_0009,308,311,2,mot_0009_tl09,mot_0009_tl10,2.78,0.93,1.06,0.342094,0.431873,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0008,mot_0009,325,327,1,mot_0009_tl10,mot_0009_tl11,1.62,0.81,1.06,0.291187,0.536265,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0010,mot_0011,133,135,1,mot_0011_tl01,mot_0011_tl02,0.02,0.01,1.00,0.253099,0.592455,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0010,mot_0011,913,915,1,mot_0011_tl02,mot_0011_tl03,0.36,0.18,1.01,0.315765,0.323676,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0010,mot_0011,1035,1037,1,mot_0011_tl03,mot_0011_tl04,0.84,0.42,1.00,0.289996,0.567891,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0010,mot_0011,1124,1126,1,mot_0011_tl04,mot_0011_tl05,0.83,0.41,1.01,0.458427,0.464441,FLICKER_GAP_REVIEW,tracklet_break
lv_0010,mot_0011,1144,1146,1,mot_0011_tl05,mot_0011_tl06,0.86,0.43,1.00,0.270249,0.491090,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0010,mot_0011,1385,1387,1,mot_0011_tl06,mot_0011_tl07,1.05,0.53,1.00,0.593303,0.625924,FLICKER_GAP_REVIEW,tracklet_break
lv_0010,mot_0011,1475,1477,1,mot_0011_tl07,mot_0011_tl08,2.21,1.11,1.01,0.308019,0.562309,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0010,mot_0011,1527,1529,1,mot_0011_tl08,mot_0011_tl09,3.78,1.89,1.00,0.282509,0.635259,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0010,mot_0011,1563,1565,1,mot_0011_tl09,mot_0011_tl10,3.62,1.81,1.00,0.427472,0.525000,FLICKER_GAP_REVIEW,tracklet_break
lv_0014,mot_0189,405,407,1,mot_0189_tl01,mot_0189_tl02,4.16,2.08,1.18,0.417845,0.482600,FLICKER_GAP_REVIEW,tracklet_break
lv_0016,mot_0209,646,648,1,mot_0209_tl01,mot_0209_tl02,3.40,1.70,1.05,0.467209,0.581203,FLICKER_GAP_REVIEW,tracklet_break
lv_0016,mot_0209,658,660,1,mot_0209_tl02,mot_0209_tl03,1.58,0.79,1.03,0.688041,0.880822,FLICKER_GAP_REVIEW,tracklet_break
lv_0020,mot_0235,749,751,1,mot_0235_tl01,mot_0235_tl02,7.76,3.88,1.08,0.372322,0.408479,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0020,mot_0235,755,757,1,mot_0235_tl02,mot_0235_tl03,2.18,1.09,1.16,0.267359,0.454705,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0020,mot_0235,757,759,1,mot_0235_tl03,mot_0235_tl04,1.88,0.94,1.01,0.454705,0.490810,FLICKER_GAP_REVIEW,tracklet_break
lv_0020,mot_0235,830,832,1,mot_0235_tl04,mot_0235_tl05,1.26,0.63,1.01,0.662458,0.808491,FLICKER_GAP_REVIEW,tracklet_break
lv_0021,mot_0392,1304,1306,1,mot_0392_tl01,mot_0392_tl02,3.24,1.62,1.01,0.844115,0.783696,FLICKER_GAP_REVIEW,tracklet_break
lv_0021,mot_0392,1543,1548,4,mot_0392_tl02,mot_0392_tl03,7.48,1.50,1.02,0.274383,0.256773,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0022,mot_0394,1660,1662,1,mot_0394_tl01,mot_0394_tl02,1.95,0.97,1.15,0.567137,0.313011,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1378,1382,3,mot_0420_tl01,mot_0420_tl02,4.93,1.23,1.13,0.287820,0.351059,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1390,1393,2,mot_0420_tl02,mot_0420_tl03,1.68,0.56,1.03,0.349424,0.354342,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1394,1396,1,mot_0420_tl03,mot_0420_tl04,1.59,0.79,1.03,0.336967,0.282910,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1409,1411,1,mot_0424_tl02,mot_0424_tl03,2.00,1.00,1.02,0.522639,0.636298,FLICKER_GAP_REVIEW,tracklet_break
lv_0024,mot_0420|mot_0424,1438,1440,1,mot_0424_tl03,mot_0424_tl04,2.51,1.26,1.01,0.344300,0.268113,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1445,1447,1,mot_0424_tl04,mot_0424_tl05,2.18,1.09,1.02,0.299172,0.426358,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1512,1514,1,mot_0424_tl05,mot_0424_tl06,8.14,4.07,1.03,0.255076,0.455869,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1518,1520,1,mot_0424_tl06,mot_0424_tl07,1.57,0.78,1.02,0.403865,0.293614,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0024,mot_0420|mot_0424,1572,1595,22,mot_0424_tl07,mot_0424_tl08,14.68,0.64,1.02,0.269870,0.477002,FLICKER_GAP_REVIEW,long_gap|tracklet_break|low_confidence_context
lv_0030,mot_0488,1536,1539,2,mot_0488_tl01,mot_0488_tl02,0.85,0.28,1.01,0.264997,0.271586,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0030,mot_0488,1556,1563,6,mot_0488_tl02,mot_0488_tl03,0.85,0.12,1.04,0.334130,0.278517,FLICKER_GAP_REVIEW,long_gap|tracklet_break|low_confidence_context
lv_0030,mot_0488,1577,1579,1,mot_0488_tl03,mot_0488_tl04,0.18,0.09,1.00,0.437069,0.272402,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0030,mot_0488,1580,1582,1,mot_0488_tl04,mot_0488_tl05,0.54,0.27,1.00,0.450231,0.462489,FLICKER_GAP_REVIEW,tracklet_break
lv_0032,mot_0527,1541,1544,2,mot_0527_tl01,mot_0527_tl02,6.90,2.30,1.00,0.328540,0.311451,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0034,mot_0527,1572,1574,1,mot_0527_tl03,mot_0527_tl04,4.89,2.44,1.02,0.285237,0.348203,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0036,mot_0570,1644,1646,1,mot_0570_tl01,mot_0570_tl02,3.24,1.62,1.19,0.520454,0.470665,FLICKER_GAP_REVIEW,tracklet_break
lv_0039,mot_0588,1619,1622,2,mot_0588_tl01,mot_0588_tl02,5.64,1.88,1.04,0.348036,0.427428,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0039,mot_0588,1662,1664,1,mot_0588_tl02,mot_0588_tl03,7.06,3.53,1.26,0.368625,0.413987,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0039,mot_0588,1667,1670,2,mot_0588_tl03,mot_0588_tl04,5.63,1.88,1.21,0.449582,0.371656,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0040,mot_0621,1826,1828,1,mot_0621_tl01,mot_0621_tl02,1.45,0.72,1.03,0.366353,0.266679,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0040,mot_0621,1981,1983,1,mot_0621_tl02,mot_0621_tl03,0.52,0.26,1.01,0.357679,0.514191,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1722,1724,1,mot_0622_tl01,mot_0622_tl02,3.38,1.69,1.04,0.361357,0.508874,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1724,1727,2,mot_0622_tl02,mot_0622_tl03,3.14,1.05,1.01,0.508874,0.315504,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1728,1731,2,mot_0622_tl03,mot_0622_tl04,5.17,1.72,1.05,0.359646,0.339994,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1740,1742,1,mot_0622_tl04,mot_0622_tl05,2.29,1.14,1.05,0.316617,0.422870,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1743,1746,2,mot_0622_tl05,mot_0622_tl06,3.36,1.12,1.06,0.335594,0.380249,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1747,1749,1,mot_0622_tl06,mot_0622_tl07,3.88,1.94,1.04,0.369709,0.330280,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1749,1752,2,mot_0622_tl07,mot_0622_tl08,5.47,1.82,1.05,0.330280,0.253880,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1759,1766,6,mot_0622_tl08,mot_0622_tl09,12.47,1.78,1.24,0.421543,0.532825,FLICKER_GAP_REVIEW,long_gap|tracklet_break
lv_0041,mot_0622,1766,1774,7,mot_0622_tl09,mot_0622_tl10,17.63,2.20,1.20,0.532825,0.603053,FLICKER_GAP_REVIEW,long_gap|tracklet_break
lv_0041,mot_0622,1774,1776,1,mot_0622_tl10,mot_0622_tl11,1.75,0.88,1.10,0.603053,0.367398,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1790,1796,5,mot_0622_tl11,mot_0622_tl12,11.61,1.93,1.11,0.266821,0.408435,FLICKER_GAP_REVIEW,long_gap|tracklet_break|low_confidence_context
lv_0041,mot_0622,1819,1821,1,mot_0622_tl12,mot_0622_tl13,2.64,1.32,1.06,0.381671,0.343649,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1822,1824,1,mot_0622_tl13,mot_0622_tl14,2.42,1.21,1.01,0.411996,0.352939,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1824,1826,1,mot_0622_tl14,mot_0622_tl15,3.85,1.93,1.04,0.352939,0.352874,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1826,1828,1,mot_0622_tl15,mot_0622_tl16,2.41,1.20,1.01,0.352874,0.345332,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1831,1838,6,mot_0622_tl16,mot_0622_tl17,9.13,1.30,1.06,0.420757,0.261089,FLICKER_GAP_REVIEW,long_gap|tracklet_break|low_confidence_context
lv_0041,mot_0622,1838,1840,1,mot_0622_tl17,mot_0622_tl18,1.98,0.99,1.01,0.261089,0.414514,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1844,1846,1,mot_0622_tl18,mot_0622_tl19,1.60,0.80,1.03,0.431506,0.397252,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1846,1858,11,mot_0622_tl19,mot_0622_tl20,17.03,1.42,1.05,0.397252,0.292816,FLICKER_GAP_REVIEW,long_gap|tracklet_break|low_confidence_context
lv_0041,mot_0622,1858,1864,5,mot_0622_tl20,mot_0622_tl21,6.99,1.17,1.08,0.292816,0.332489,FLICKER_GAP_REVIEW,long_gap|tracklet_break|low_confidence_context
lv_0041,mot_0622,1872,1874,1,mot_0622_tl21,mot_0622_tl22,0.72,0.36,1.02,0.314963,0.313122,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1884,1886,1,mot_0622_tl22,mot_0622_tl23,2.84,1.42,1.02,0.435048,0.326179,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1886,1888,1,mot_0622_tl23,mot_0622_tl24,5.22,2.61,1.03,0.326179,0.466825,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1936,1940,3,mot_0622_tl24,mot_0622_tl25,3.13,0.78,1.01,0.343281,0.266940,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
lv_0041,mot_0622,1940,1944,3,mot_0622_tl25,mot_0622_tl26,3.65,0.91,1.04,0.266940,0.291536,FLICKER_GAP_REVIEW,tracklet_break|low_confidence_context
