logical_vehicle_id,raw_track_ids,detected_frame_count,start_frame,end_frame,duration_frames,coverage_ratio,tracklet_count,gap_count,low_confidence_count,low_confidence_ratio,median_bbox_area,total_displacement_px,border_touch_ratio,quality_status,risk_reasons
lv_0001,mot_0001,80,0,82,83,0.9639,2,1,4,0.0500,7676.31,100.90,0.6500,QUALITY_PASS,
lv_0002,mot_0002,331,0,330,331,1.0000,1,0,6,0.0181,5737.84,752.78,0.0846,QUALITY_PASS,
lv_0003,mot_0003,455,0,454,455,1.0000,1,0,4,0.0088,1857.08,789.81,0.0000,QUALITY_PASS,
lv_0004,mot_0004,243,0,243,244,0.9959,2,1,0,0.0000,6304.36,609.70,0.1152,QUALITY_PASS,
lv_0005,mot_0006|mot_0166,311,0,312,313,0.9936,2,1,13,0.0418,1153.92,429.35,0.0611,RISK_REVIEW,small_area
lv_0006,mot_0007,384,0,385,386,0.9948,2,1,8,0.0208,1374.42,539.11,0.0365,QUALITY_PASS,
lv_0007,mot_0008,193,0,214,215,0.8977,3,2,8,0.0415,1079.67,315.95,0.0570,RISK_REVIEW,small_area
lv_0008,mot_0009,330,0,340,341,0.9677,11,10,56,0.1697,10859.16,528.79,0.1606,RISK_REVIEW,flicker_fragmented
lv_0009,mot_0010|mot_0226,2000,0,1999,2000,1.0000,3,0,2,0.0010,2426.52,0.22,0.0000,QUALITY_PASS,
lv_0010,mot_0011,1814,0,1822,1823,0.9951,10,9,363,0.2001,1996.98,932.00,0.0000,RISK_REVIEW,flicker_fragmented
lv_0011,mot_0104,1860,140,1999,1860,1.0000,1,0,2,0.0011,7201.83,269.78,0.0301,QUALITY_PASS,
lv_0013,mot_0137,1781,219,1999,1781,1.0000,1,0,8,0.0045,7031.32,402.01,0.0219,QUALITY_PASS,
lv_0014,mot_0189,446,405,851,447,0.9978,2,1,6,0.0135,6582.95,1053.19,0.1570,QUALITY_PASS,
lv_0015,mot_0195,1453,547,1999,1453,1.0000,1,0,4,0.0028,2549.04,344.27,0.0000,QUALITY_PASS,
lv_0016,mot_0209,1364,634,1999,1366,0.9985,3,2,5,0.0037,9916.84,133.82,0.0865,QUALITY_PASS,
lv_0019,mot_0231,1262,738,1999,1262,1.0000,1,0,2,0.0016,2368.05,252.78,0.0000,QUALITY_PASS,
lv_0020,mot_0235,1248,748,1999,1252,0.9968,5,4,3,0.0024,9410.57,110.87,0.9447,QUALITY_PASS,
lv_0021,mot_0392,352,1192,1548,357,0.9860,3,2,8,0.0227,3459.54,520.49,0.0000,QUALITY_PASS,
lv_0022,mot_0394,433,1229,1662,434,0.9977,2,1,8,0.0185,2129.73,1393.57,0.0254,QUALITY_PASS,
lv_0023,mot_0402,40,1259,1298,40,1.0000,1,0,1,0.0250,989.17,31.25,0.0750,RISK_REVIEW,short_track|small_area
lv_0024,mot_0420|mot_0424,601,1366,1999,634,0.9479,12,9,55,0.0915,1640.75,202.86,0.0000,RISK_REVIEW,flicker_fragmented
lv_0025,mot_0421,4,1366,1369,4,1.0000,1,0,3,0.7500,1375.74,1.20,0.0000,RISK_REVIEW,very_short_track|low_confidence_many|static_like
lv_0026,mot_0424,3,1390,1392,3,1.0000,1,0,1,0.3333,1225.92,1.26,0.0000,RISK_REVIEW,very_short_track|low_confidence_many|static_like
lv_0027,mot_0421,1,1391,1391,1,1.0000,1,0,1,1.0000,1432.37,0.00,0.0000,RISK_REVIEW,very_short_track|low_confidence_many|static_like
lv_0030,mot_0488,81,1515,1605,91,0.8901,5,4,53,0.6543,1780.82,1.84,0.0000,RISK_REVIEW,low_confidence_many
lv_0031,mot_0500,14,1522,1535,14,1.0000,1,0,14,1.0000,483.39,1.74,0.0000,RISK_REVIEW,short_track|low_confidence_many|small_area|static_like
lv_0032,mot_0527,4,1541,1546,6,0.6667,2,1,4,1.0000,1511.84,11.30,0.0000,RISK_REVIEW,very_short_track|sparse_track|low_confidence_many
lv_0033,mot_0500,33,1564,1596,33,1.0000,1,0,32,0.9697,488.93,1.76,0.0000,RISK_REVIEW,short_track|low_confidence_many|small_area|static_like
lv_0034,mot_0527,2,1572,1574,3,0.6667,2,1,2,1.0000,1372.25,4.89,0.0000,RISK_REVIEW,very_short_track|sparse_track|low_confidence_many|static_like
lv_0035,mot_0566,397,1583,1979,397,1.0000,1,0,8,0.0202,2737.43,525.94,0.0000,QUALITY_PASS,
lv_0036,mot_0570,62,1588,1650,63,0.9841,2,1,1,0.0161,2568.42,137.36,0.3387,RISK_REVIEW,border_short_target
lv_0038,mot_0580,405,1595,1999,405,1.0000,1,0,5,0.0123,2004.40,1.18,0.0000,QUALITY_PASS,
lv_0039,mot_0588,48,1618,1670,53,0.9057,4,3,4,0.0833,911.59,56.41,0.0625,RISK_REVIEW,short_track|small_area
lv_0040,mot_0621,288,1710,1999,290,0.9931,3,2,24,0.0833,1209.72,162.99,0.0000,QUALITY_PASS,
lv_0041,mot_0622,176,1711,1953,243,0.7243,26,25,55,0.3125,1468.30,279.80,0.0057,RISK_REVIEW,sparse_track|flicker_fragmented|low_confidence_many
lv_0042,mot_0670,77,1844,1921,78,0.9872,2,1,1,0.0130,2424.29,153.48,0.2208,QUALITY_PASS,
lv_0044,mot_0622,1,1970,1970,1,1.0000,1,0,1,1.0000,1897.90,0.00,0.0000,RISK_REVIEW,very_short_track|low_confidence_many|static_like
