from_tracklet_id,to_tracklet_id,from_raw_track_id,to_raw_track_id,from_end_frame,to_start_frame,gap_frames,predicted_distance_px,size_ratio,link_cost,link_status,review_status
mot_0004_tl01,mot_0004_tl02,mot_0004,mot_0004,18,20,1,0.06,1.00,2.06,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0004_tl01,mot_0009_tl02,mot_0004,mot_0009,18,20,1,357.28,1.79,362.28,REJECT_DISTANCE,PENDING_REVIEW
mot_0004_tl01,mot_0009_tl03,mot_0004,mot_0009,18,29,10,356.83,1.75,379.83,REJECT_DISTANCE,PENDING_REVIEW
mot_0009_tl01,mot_0004_tl02,mot_0009,mot_0004,18,20,1,357.12,1.79,362.12,REJECT_DISTANCE,PENDING_REVIEW
mot_0009_tl01,mot_0009_tl02,mot_0009,mot_0009,18,20,1,0.35,1.01,2.35,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl01,mot_0009_tl03,mot_0009,mot_0009,18,29,10,2.03,1.06,22.03,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl02,mot_0009_tl03,mot_0009,mot_0009,27,29,1,0.29,1.01,2.29,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0001_tl01,mot_0001_tl02,mot_0001,mot_0001,70,74,3,0.62,1.16,6.62,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl03,mot_0009_tl04,mot_0009,mot_0009,97,99,1,0.63,1.01,2.63,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl04,mot_0009_tl05,mot_0009,mot_0009,115,117,1,0.10,1.00,2.10,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl04,mot_0009_tl06,mot_0009,mot_0009,115,124,8,0.59,1.01,16.59,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl05,mot_0009_tl06,mot_0009,mot_0009,122,124,1,0.16,1.00,2.16,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl06,mot_0009_tl07,mot_0009,mot_0009,132,134,1,0.27,1.01,2.27,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl06,mot_0009_tl08,mot_0009,mot_0009,132,143,10,2.30,1.02,22.30,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl06,mot_0011_tl02,mot_0009,mot_0011,132,135,2,842.17,2.87,849.17,REJECT_DISTANCE,PENDING_REVIEW
mot_0009_tl06,mot_0104_tl01,mot_0009,mot_0104,132,140,7,1423.20,4.28,1440.20,REJECT_DISTANCE,PENDING_REVIEW
mot_0011_tl01,mot_0009_tl07,mot_0011,mot_0009,133,134,0,841.03,2.85,844.03,REJECT_DISTANCE,PENDING_REVIEW
mot_0011_tl01,mot_0009_tl08,mot_0011,mot_0009,133,143,9,852.83,2.88,873.83,REJECT_DISTANCE,PENDING_REVIEW
mot_0011_tl01,mot_0011_tl02,mot_0011,mot_0011,133,135,1,0.03,1.00,2.03,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0011_tl01,mot_0104_tl01,mot_0011,mot_0104,133,140,6,979.37,1.90,994.37,REJECT_DISTANCE,PENDING_REVIEW
mot_0009_tl07,mot_0009_tl08,mot_0009,mot_0009,141,143,1,0.84,1.00,2.84,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0008_tl01,mot_0008_tl02,mot_0008,mot_0008,171,176,4,2.27,1.02,10.27,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0008_tl01,mot_0009_tl09,mot_0008,mot_0009,171,173,1,1073.42,3.58,1078.42,REJECT_DISTANCE,PENDING_REVIEW
