from_tracklet_id,to_tracklet_id,from_raw_track_id,to_raw_track_id,from_end_frame,to_start_frame,gap_frames,predicted_distance_px,size_ratio,link_cost,link_status,review_status
mot_0004_tl01,mot_0004_tl02,mot_0004,mot_0004,18,20,1,0.06,1.00,2.06,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl01,mot_0009_tl02,mot_0009,mot_0009,18,20,1,0.35,1.01,2.35,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl02,mot_0009_tl03,mot_0009,mot_0009,27,29,1,0.29,1.01,2.29,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0001_tl01,mot_0001_tl02,mot_0001,mot_0001,70,74,3,0.62,1.16,6.62,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl03,mot_0009_tl04,mot_0009,mot_0009,97,99,1,0.63,1.01,2.63,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl04,mot_0009_tl05,mot_0009,mot_0009,115,117,1,0.10,1.00,2.10,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl05,mot_0009_tl06,mot_0009,mot_0009,122,124,1,0.16,1.00,2.16,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl06,mot_0009_tl07,mot_0009,mot_0009,132,134,1,0.27,1.01,2.27,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0011_tl01,mot_0011_tl02,mot_0011,mot_0011,133,135,1,0.03,1.00,2.03,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl07,mot_0009_tl08,mot_0009,mot_0009,141,143,1,0.84,1.00,2.84,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0008_tl01,mot_0008_tl02,mot_0008,mot_0008,171,176,4,2.27,1.02,10.27,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl08,mot_0009_tl09,mot_0009,mot_0009,171,173,1,0.96,1.03,2.96,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0006_tl01,mot_0166_tl01,mot_0006,mot_0166,279,282,2,6.36,1.63,13.36,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl09,mot_0009_tl10,mot_0009,mot_0009,308,311,2,2.69,1.06,6.69,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl10,mot_0009_tl11,mot_0009,mot_0009,325,327,1,0.48,1.06,2.48,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0007_tl01,mot_0007_tl02,mot_0007,mot_0007,346,349,2,0.77,1.09,4.77,ACCEPT_CANDIDATE,AUTO_ACCEPT
