tracklet_id,raw_track_id,class_name,start_frame,end_frame,frame_count,mean_confidence,start_center_x,start_center_y,end_center_x,end_center_y
mot_0001_tl01,mot_0001,car,0,70,71,0.7530,1382.95,1011.57,1455.86,1057.14
mot_0002_tl01,mot_0002,car,0,330,331,0.8769,1001.41,495.99,1492.20,1066.78
mot_0003_tl01,mot_0003,car,0,454,455,0.7770,1233.55,632.06,693.44,55.78
mot_0004_tl01,mot_0004,car,0,18,19,0.8676,1092.85,616.65,1115.46,641.15
mot_0006_tl01,mot_0006,car,0,279,280,0.7706,935.52,307.48,657.58,34.60
mot_0007_tl01,mot_0007,car,0,346,347,0.7915,1017.54,387.45,671.65,39.03
mot_0008_tl01,mot_0008,car,0,171,172,0.7901,862.61,231.94,678.88,48.33
mot_0009_tl01,mot_0009,truck,0,18,19,0.5420,1459.31,612.08,1470.44,596.41
mot_0010_tl01,mot_0010,car,0,711,712,0.8448,1495.37,355.92,1496.11,356.10
mot_0011_tl01,mot_0011,car,0,133,134,0.5976,807.51,223.49,807.88,223.99
mot_0004_tl02,mot_0004,car,20,243,224,0.9017,1117.97,643.93,1501.20,1069.40
mot_0009_tl02,mot_0009,truck,20,27,8,0.6758,1471.80,594.35,1477.38,588.28
mot_0009_tl03,mot_0009,truck,29,97,69,0.4973,1479.26,586.60,1551.70,525.98
mot_0001_tl02,mot_0001,car,74,82,9,0.4982,1459.82,1060.33,1467.22,1067.06
mot_0009_tl04,mot_0009,bus,99,115,17,0.5690,1553.20,524.17,1575.86,510.51
mot_0009_tl05,mot_0009,bus,117,122,6,0.4229,1578.74,508.89,1586.09,504.79
mot_0009_tl06,mot_0009,bus,124,132,9,0.8188,1589.14,503.05,1600.90,497.02
mot_0009_tl07,mot_0009,bus,134,141,8,0.5074,1603.96,495.27,1616.28,489.00
mot_0011_tl02,mot_0011,car,135,913,779,0.4587,807.86,223.99,821.78,238.79
mot_0104_tl01,mot_0104,car,140,1999,1860,0.9181,311.90,1068.50,561.76,966.74
mot_0009_tl08,mot_0009,bus,143,171,29,0.6901,1619.02,487.50,1660.96,467.59
mot_0009_tl09,mot_0009,truck,173,308,136,0.5930,1664.18,467.10,1880.70,351.15
mot_0008_tl02,mot_0008,car,176,176,1,0.2896,675.66,42.27,675.66,42.27
mot_0008_tl03,mot_0008,car,195,214,20,0.5462,656.95,23.96,639.47,8.26
mot_0137_tl01,mot_0137,car,219,1999,1781,0.9126,120.36,1069.93,496.60,928.31
mot_0166_tl01,mot_0166,car,282,312,31,0.5975,655.55,25.38,630.84,4.97
mot_0009_tl10,mot_0009,bus,311,325,15,0.3363,1883.05,349.68,1896.21,343.90
mot_0009_tl11,mot_0009,car,327,340,14,0.5297,1897.62,343.09,1909.45,334.61
mot_0007_tl02,mot_0007,car,349,385,37,0.5986,668.52,35.24,635.00,7.58
mot_0189_tl01,mot_0189,car,405,405,1,0.4178,429.59,1069.43,429.59,1069.43
mot_0189_tl02,mot_0189,car,407,851,445,0.8974,433.25,1067.47,1482.78,1070.85
mot_0195_tl01,mot_0195,car,547,1999,1453,0.8805,1832.47,259.69,1512.95,387.86
mot_0209_tl01,mot_0209,car,634,646,13,0.5076,422.99,1071.38,441.84,1066.01
mot_0209_tl02,mot_0209,car,648,658,11,0.6385,438.51,1065.27,446.22,1061.66
mot_0209_tl03,mot_0209,car,660,1999,1340,0.9204,447.70,1061.10,550.98,1032.32
mot_0226_tl01,mot_0226,car,701,705,5,0.3176,1500.96,355.80,1500.82,355.66
mot_0226_tl02,mot_0226,car,712,712,1,0.6989,1500.30,355.76,1500.30,355.76
mot_0010_tl02,mot_0010,car,713,1999,1287,0.8367,1496.46,356.08,1495.17,356.01
mot_0226_tl03,mot_0226,car,720,720,1,0.2589,1500.51,355.94,1500.51,355.94
mot_0226_tl04,mot_0226,car,722,731,10,0.3037,1500.51,355.95,1500.43,356.02
mot_0226_tl05,mot_0226,car,733,749,17,0.3293,1500.42,356.01,1500.64,356.00
mot_0231_tl01,mot_0231,car,738,1999,1262,0.8841,1826.99,259.76,1593.73,357.14
mot_0235_tl01,mot_0235,car,748,749,2,0.3904,275.67,1072.39,276.19,1072.05
